product_code,product_name,respondent_type,question_no,question_type,prompt,options_or_items,analysis_hint
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งผ้าปูบ่อตราต้นไม้ (เลือกได้ 2 ข้อ),กำหนดความกว้าง-ยาวได้เอง | คุณภาพ/ไม่รั่วซึม | ส่งฟรีถึงหน้าร้าน | ราคาและ Margin ดี | มาตรฐานสม่ำเสมอ | อื่นๆ,ตรวจสอบว่า USP 'กำหนดขนาดได้' ถูกรับรู้จาก Dealer ไหม
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,dealer,2,rating_grid,เทียบกับ TCT / คงสวัสดิ์ / เอกสุวรรณ เราดีกว่าในด้านใด? (1–5),คุณภาพ/ไม่รั่วซึม | ความยืดหยุ่นด้านขนาด | ราคา/Margin | Delivery ตรงเวลา | บริการหลังการขาย,นำไปเทียบกับคะแนนภายในทีมใน Excel — Gap สูง = ต้องสื่อสารเพิ่ม
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,dealer,3,single_choice,สิ่งที่อยากให้ตราต้นไม้ปรับปรุงมากที่สุด,ราคาแพงกว่าคู่แข่ง | ขนาดพิเศษใช้เวลาผลิตนาน | ขาด Stock ขนาดมาตรฐาน | อยากได้รูปแบบ Credit Term ที่ดีกว่า | ไม่มีปัญหา,จุดอ่อนที่ Dealer บอกตรงๆ = ข้อมูลที่แม่นยำที่สุด
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,dealer,4,single_choice,ลูกค้าปลายทางที่ซื้อผ้าปูบ่อส่วนใหญ่คือใคร?,เกษตรกรเพาะกุ้ง/ปลา | สวนผัก/ผลไม้ที่ต้องการบ่อน้ำ | ผู้รับเหมาก่อสร้าง | เกษตรกรทั่วไป | อื่นๆ,เข้าใจ Value Chain จริง ว่า End User คือใคร เพื่อออกแบบ Promotion ให้ถูกกลุ่ม
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,dealer,5,scale,โอกาสที่จะแนะนำผ้าปูบ่อตราต้นไม้ให้ร้านอื่น (1–5),,NPS Dealer สะท้อนความแข็งแกร่งของ Channel
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,farmer,1,checkbox,ทำไมถึงเลือกใช้ผ้าปูบ่อตราต้นไม้ (เลือกได้ 2 ข้อ),คุณภาพดี ไม่รั่วซึม | กำหนดขนาดบ่อได้เอง | ราคาเหมาะสม | ร้านที่ซื้อประจำแนะนำ | ไม่เคยมีปัญหากับยี่ห้อนี้ | อื่นๆ,เกษตรกรเน้น 'ไม่รั่ว' มากกว่า 'ราคา' — ยืนยันหรือหักล้าง USP
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,farmer,2,rating_grid,หลังใช้งานจริง ผ้าปูบ่อของเราดีกว่าที่คาดไว้ในด้านใด? (1–5),ความแข็งแรง/ไม่รั่ว | ความคงทนระยะยาว | ขนาดตรงตามที่สั่ง | ความคุ้มค่า | บริการหลังการขาย,USP ที่ได้จากปากเกษตรกรโดยตรงน่าเชื่อถือกว่าการประเมินภายใน
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,farmer,3,single_choice,ปัญหาที่เคยเจอกับผ้าปูบ่อ (ยี่ห้อใดก็ได้) คืออะไร?,ผ้ารั่วก่อนกำหนด | ขนาดไม่ตรงกับบ่อ | ราคาแพงเกินงบ | ไม่มีบริการหลังการขาย | ยังไม่มีปัญหา,ปัญหาที่คู่แข่งยังแก้ไม่ได้ = โอกาสสร้าง Differentiation
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,farmer,4,single_choice,พืช/สัตว์ที่ปลูก/เลี้ยงในบ่อนี้คืออะไร?,กุ้ง/ปลา | ผักไฮโดรโปนิกส์ | บัว/พืชน้ำ | กักเก็บน้ำเพื่อชลประทาน | อื่นๆ,รู้ Use Case จริง → Promotion ตรงฤดูกาลพืช/สัตว์นั้น
POND_LINER,ปูบ่อ / ผ้าปูบ่อ,farmer,5,scale,โอกาสที่จะแนะนำผ้าปูบ่อตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,Word of Mouth ในกลุ่มเกษตรกร
SHADE_NET,แสลน,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งแสลนตราต้นไม้ (เลือกได้ 2 ข้อ),คุณภาพ/ความทนทาน | เปอร์เซ็นต์กรองแสงตรงตามสเปก | ราคาและ Margin ดี | มีหลายขนาด/หลาย % | แบรนด์น่าเชื่อถือ | อื่นๆ,Dealer โฟกัส Margin vs เกษตรกรโฟกัส % แสง — เปรียบเทียบ 2 กลุ่มให้เห็น Gap
SHADE_NET,แสลน,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),ความแข็งแรง/ทนทาน | ความแม่นยำ % แสง | ราคา/Margin | ความหลากหลายขนาด | Delivery,ปัจจัยที่เราได้ต่ำกว่า 3 = จุดเสี่ยงที่ Dealer อาจหันไปหาคู่แข่ง
SHADE_NET,แสลน,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าจีน | สีซีดเร็วกว่าที่บอก | ขนาดที่ต้องการไม่มี Stock | ข้อมูลสเปก % แสงไม่ชัดเจน | ไม่มีปัญหา,Action แรกที่ต้องทำก่อน Q ถัดไป
SHADE_NET,แสลน,dealer,4,single_choice,ลูกค้าปลายทางที่ซื้อแสลนส่วนใหญ่ใช้ทำอะไร?,โรงเรือนผัก/ผลไม้ | รั้วกันแดด | ที่พรางแสงลานจอดรถ | เพาะกล้า/เรือนเพาะชำ | อื่นๆ,รู้ Use Case → วางแผน Seasonal Promotion ได้แม่นยำขึ้น
SHADE_NET,แสลน,dealer,5,scale,โอกาสที่จะแนะนำแสลนตราต้นไม้ให้ร้านอื่น (1–5),,NPS Dealer แสลน บ่งบอกความแข็งแกร่งของ Distribution
SHADE_NET,แสลน,farmer,1,checkbox,ทำไมถึงเลือกใช้แสลนตราต้นไม้ (เลือกได้ 2 ข้อ),ความทนทาน ใช้ได้นาน | เปอร์เซ็นต์กรองแสงตรงตามต้องการ | ราคาเหมาะสม | ร้านที่ซื้อประจำแนะนำ | สีไม่ซีดเร็ว | อื่นๆ,เกษตรกรเน้น '% แสงตรง' มากกว่าราคา — ยืนยัน USP ที่แท้จริง
SHADE_NET,แสลน,farmer,2,rating_grid,แสลนที่ใช้อยู่ตอบโจทย์การปลูกพืชของคุณไหม? (1–5),% แสงตรงกับความต้องการพืช | ความทนทานต่อสภาพอากาศ | ขนาดเหมาะกับพื้นที่ | ความคุ้มค่า | ง่ายต่อการติดตั้ง,วัดว่าสินค้าแก้ Pain Point ได้จริงไหม ไม่ใช่แค่ขายได้
SHADE_NET,แสลน,farmer,3,single_choice,พืชที่ปลูกใต้แสลนคืออะไร?,ผักใบเขียว (ผักบุ้ง/คะน้า) | สตรอว์เบอร์รี/เมลอน | กล้วยไม้/ไม้ดอก | กล้าไม้/เพาะชำ | อื่นๆ,Segment ตาม Crop → Promotion ตรงช่วง Planting Season
SHADE_NET,แสลน,farmer,4,single_choice,ปัญหาที่เคยเจอกับแสลน (ยี่ห้อใดก็ได้) คืออะไร?,สีซีด % แสงเปลี่ยนก่อนกำหนด | ขาดหรือฉีกง่าย | ขนาดไม่ตรงพื้นที่ | ราคาแพงเกินไป | ยังไม่มีปัญหา,Pain ที่ยังแก้ไม่ได้ในตลาด = โอกาส Product Development
SHADE_NET,แสลน,farmer,5,scale,โอกาสที่จะแนะนำแสลนตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,Word of Mouth ในกลุ่มเกษตรกรเป็นช่องทาง Marketing ที่ทรงพลัง
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งพลาสติกคลุมดินตราต้นไม้ (เลือกได้ 2 ข้อ),ความหนาตรงตามสเปก ไม่ขาดง่าย | สีดำด้านกำจัดวัชพืชได้ดี | ราคาและ Margin ดี | มีทั้งหน้าดำ-หลังเงิน | Delivery ตรงเวลา | อื่นๆ,ตรวจสอบว่า Dealer ให้คุณค่ากับ 'ความหนาตรงสเปก' เท่ากับที่เราคิดไหม
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),ความหนา/ทนทาน | ประสิทธิภาพกำจัดวัชพืช | ราคา/Margin | ความหลากหลาย | Delivery,ปัจจัยที่คู่แข่งจีนมักชนะคือราคา — ดูว่าเราชนะด้านไหนได้บ้าง
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าจีน | ขาด Stock ช่วง High Season | ขนาดม้วนที่ต้องการไม่มี | คุณภาพไม่สม่ำเสมอ | ไม่มีปัญหา,ถ้า 'ราคา' ถูกเลือกมากสุด แสดงว่าจีนกำลังกดดัน — ต้องหา Differentiation อื่น
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,dealer,4,single_choice,ลูกค้าปลายทางใช้พลาสติกคลุมดินกับพืชอะไรมากที่สุด?,สตรอว์เบอร์รี | มะเขือเทศ/พริก | อ้อย/มันสำปะหลัง | ผักทั่วไป | อื่นๆ,วางแผน Stock ล่วงหน้าตรงกับช่วง Planting Season ของแต่ละพืช
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,dealer,5,scale,โอกาสที่จะแนะนำพลาสติกคลุมดินตราต้นไม้ให้ร้านอื่น (1–5),,ติดตามแรงกดดันด้านราคา
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,farmer,1,checkbox,ทำไมถึงเลือกใช้พลาสติกคลุมดินตราต้นไม้ (เลือกได้ 2 ข้อ),ลดวัชพืชได้จริง | รักษาความชื้นดิน ประหยัดน้ำ | ความหนา ไม่ขาดง่าย | ราคาเหมาะสม | ร้านแนะนำ | อื่นๆ,เกษตรกรเน้น 'ผลลัพธ์จริง' คือลดวัชพืชได้ไหม — ต่างจาก Dealer ที่เน้น Margin
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,farmer,2,rating_grid,หลังใช้งานจริง พลาสติกคลุมดินของเราดีกว่าที่คาดไว้ตรงไหน? (1–5),ประสิทธิภาพกำจัดวัชพืช | ความทนทานตลอดฤดูกาล | รักษาความชื้น | ความคุ้มค่า | ง่ายต่อการใช้งาน,สิ่งที่เกษตรกร 'ประหลาดใจว่าดีกว่าที่คิด' คือ USP ที่ต้องสื่อสารมากขึ้น
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,farmer,3,single_choice,ปัญหาที่เคยเจอกับพลาสติกคลุมดิน คืออะไร?,ฉีกขาดก่อนสิ้นฤดูกาล | วัชพืชยังขึ้นได้อยู่ | ราคาแพงเกินไป | ติดตั้งยาก | ยังไม่มีปัญหา,ปัญหาที่ยังไม่มีใครแก้ได้ดี = โอกาส Product Innovation
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,farmer,4,single_choice,พืชที่ปลูกและใช้พลาสติกคลุมดินคืออะไร?,สตรอว์เบอร์รี | พืชผักทั่วไป | ไม้ผล (มะม่วง/ลิ้นจี่) | อ้อย/มันสำปะหลัง | อื่นๆ,Crop Segmentation → Promotion ตรงฤดูปลูกแต่ละพืช
MULCH_FILM,ดำเงิน / พลาสติกคลุมดิน,farmer,5,scale,โอกาสที่จะแนะนำพลาสติกคลุมดินตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,เกษตรกรที่ให้ 5 คือกลุ่ม Advocate ที่ดีสำหรับ Case Study
PE_PIPE,ท่อ PE / HDPE / LDPE,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งท่อ PE ตราต้นไม้ (เลือกได้ 2 ข้อ),ทนแรงดันตามสเปก | ราคาและ Margin ดี | มีหลายขนาด/หลายชนิด | Delivery ตรงเวลา | อื่นๆ,เอกสารต้นฉบับกล่าวถึงมาตรฐาน มอก./TIS ในส่วนวิเคราะห์ แต่ Q1 ไม่ได้ระบุเป็นตัวเลือก
PE_PIPE,ท่อ PE / HDPE / LDPE,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),คุณภาพ/ทนแรงดัน | มาตรฐาน/ความน่าเชื่อถือ | ราคา/Margin | ความหลากหลาย | Delivery | มาตรฐาน มอก. / TIS ชัดเจน,ปัจจัย 'มาตรฐาน' คือจุดที่จีนแพ้เราได้ — ดูว่า Dealer เห็น Gap นี้ไหม
PE_PIPE,ท่อ PE / HDPE / LDPE,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าจีน | ขาด TIS บางประเภท | ขนาดที่ต้องการไม่มี Stock | Delivery ช้า | ไม่มีปัญหา,'ขาด TIS' ถูกเลือกมากสุด = ลงทุนขอ Certification คุ้ม
PE_PIPE,ท่อ PE / HDPE / LDPE,dealer,4,single_choice,ลูกค้าปลายทางส่วนใหญ่ใช้ท่อ PE ทำอะไร?,ระบบน้ำหยด/Drip Irrigation | ส่งน้ำในสวน/ไร่ | ก่อสร้าง/งานโยธา | ประปาชุมชน | อื่นๆ,รู้ Use Case → วางแผน Bundle Product กับเทปน้ำพุ่ง/แสลนได้
PE_PIPE,ท่อ PE / HDPE / LDPE,dealer,5,scale,โอกาสที่จะแนะนำท่อ PE ตราต้นไม้ให้ร้านอื่น (1–5),,ติดตามสินค้า PE เป็นพิเศษ
PE_PIPE,ท่อ PE / HDPE / LDPE,farmer,1,checkbox,ทำไมถึงเลือกใช้ท่อ PE ตราต้นไม้ (เลือกได้ 2 ข้อ),ทนทาน ใช้ได้นานหลายปี | ไม่แตกร้าวหรือรั่วง่าย | ราคาเหมาะสม | ร้านที่ซื้อประจำแนะนำ | หาซื้อได้ง่าย | อื่นๆ,เกษตรกรมักไม่รู้เรื่อง TIS — ถ้าเลือก 'ทนได้นาน' แสดงว่าคุณภาพคือ USP ที่ได้ผล
PE_PIPE,ท่อ PE / HDPE / LDPE,farmer,2,rating_grid,ท่อ PE ที่ใช้อยู่ตอบโจทย์ระบบน้ำในฟาร์มไหม? (1–5),ทนแรงดันน้ำได้ดี | ไม่รั่วซึมบริเวณต่อ | ความทนทานระยะยาว | ความคุ้มค่า | ติดตั้งและต่อท่อง่าย,Performance ที่ต่ำกว่า 3 คือสัญญาณเตือนก่อนที่ลูกค้าจะเปลี่ยนยี่ห้อ
PE_PIPE,ท่อ PE / HDPE / LDPE,farmer,3,single_choice,ปัญหาที่เคยเจอกับท่อ PE (ยี่ห้อใดก็ได้) คืออะไร?,แตกร้าวเมื่อโดนแดดนาน | รั่วบริเวณข้อต่อ | ราคาแพงเกินไป | ขนาดไม่ตรงกับระบบที่มี | ยังไม่มีปัญหา,Pain Point ท่อ → เชื่อม Insight กับการพัฒนา Technical Support
PE_PIPE,ท่อ PE / HDPE / LDPE,farmer,4,single_choice,ระบบน้ำที่ใช้ในฟาร์มเป็นแบบไหน?,ระบบน้ำหยด (Drip) | สปริงเกลอร์ | ท่อส่งน้ำธรรมดา | Micro Sprinkler | อื่นๆ,รู้ระบบน้ำ → Package ท่อ PE + เทปน้ำพุ่ง เพิ่ม Cross-sell
PE_PIPE,ท่อ PE / HDPE / LDPE,farmer,5,scale,โอกาสที่จะแนะนำท่อ PE ตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,โอกาส Bundle Promotion
NURSERY_BAG,ถุงเพาะชำ,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งถุงเพาะชำตราต้นไม้ (เลือกได้ 2 ข้อ),ความแข็งแรง ไม่แตกง่าย | รูระบายน้ำพอดี | ราคาต่อใบถูก | มีหลายขนาดให้เลือก | Delivery ตรงเวลา ไม่ขาด Stock | อื่นๆ,Dealer ถุงเพาะชำมักโฟกัส Price/Unit เป็นหลัก ถ้าเลือก 'คุณภาพ' แปลว่าเราสร้างความแตกต่างได้แล้ว
NURSERY_BAG,ถุงเพาะชำ,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),ความแข็งแรง/ไม่แตก | ราคาต่อใบ | ความหลากหลายขนาด | Delivery ตรงเวลา | ความสม่ำเสมอแต่ละ Lot,ถ้า 'ราคา' ได้ต่ำกว่า 3 แสดงว่าจีนกดดันมาก ต้องหา Differentiation อื่น
NURSERY_BAG,ถุงเพาะชำ,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าคู่แข่ง | ถุงบางไม่สม่ำเสมอบาง Lot | ขนาดที่ต้องการไม่มี | Delivery ช้า | ไม่มีปัญหา,จุดอ่อนจาก Dealer มักสะท้อน Pain ของ End User ด้วย
NURSERY_BAG,ถุงเพาะชำ,dealer,4,single_choice,ลูกค้าปลายทางส่วนใหญ่ใช้ถุงเพาะชำทำอะไร?,เพาะกล้าผัก | เพาะกล้าไม้ผล | ต้นไม้ประดับ/ไม้ดอก | เพาะพันธุ์ไม้ขาย | อื่นๆ,Segment End User → วาง Seasonal Stock ให้ตรงกับช่วงเพาะกล้า
NURSERY_BAG,ถุงเพาะชำ,dealer,5,scale,โอกาสที่จะแนะนำถุงเพาะชำตราต้นไม้ให้ร้านอื่น (1–5),,NPS ถุงเพาะชำสะท้อน Loyalty ของ Dealer เป็นหลัก
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งเทปน้ำพุ่งตราต้นไม้ (เลือกได้ 2 ข้อ),อัตราไหลสม่ำเสมอ | ไม่อุดตันง่าย | ราคาและ Margin ดี | ทนทาน ใช้ได้หลายฤดูกาล | ติดตั้งง่าย | อื่นๆ,Dealer เทปน้ำมักขาย Bundle กับท่อ PE — ดูว่า USP เทปคือ 'ไม่อุดตัน' หรือ 'ราคา'
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),ความสม่ำเสมอการไหล | ความทนทาน | ราคา/Margin | ความต้านทานการอุดตัน | คำแนะนำการติดตั้ง,ถ้า 'ไม่อุดตัน' ได้ต่ำ แสดงว่าคุณภาพจริงไม่ตรง USP ที่อ้าง — ต้องแก้ก่อน
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าจีน | อุดตันบ่อยเกินไป | ขาดคำแนะนำการติดตั้ง | ขาด Stock ช่วง Peak Season | ไม่มีปัญหา,Action แรกที่ต้องแก้ก่อนฤดูกาลถัดไป
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,dealer,4,single_choice,ลูกค้าปลายทางใช้เทปน้ำพุ่งกับพืชอะไร?,ผักทั่วไป | สตรอว์เบอร์รี/แตงโม | ข้าวโพด/อ้อย | ไม้ผล | อื่นๆ,วาง Seasonal Stock ให้ตรงกับช่วงปลูกพืชหลักในพื้นที่
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,dealer,5,scale,โอกาสที่จะแนะนำเทปน้ำพุ่งตราต้นไม้ให้ร้านอื่น (1–5),,NPS เทปน้ำ + ท่อ PE ควรสูงพร้อมกัน เพราะมักซื้อด้วยกัน
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,farmer,1,checkbox,ทำไมถึงเลือกใช้เทปน้ำพุ่งตราต้นไม้ (เลือกได้ 2 ข้อ),น้ำออกสม่ำเสมอทุกหัว | ไม่อุดตันง่าย | ราคาเหมาะสม | ทนทาน ใช้ได้หลายฤดู | ร้านที่ซื้อประจำแนะนำ | อื่นๆ,เกษตรกรเน้น 'น้ำออกสม่ำเสมอ' มากกว่าราคา — ยืนยัน USP ด้านคุณภาพ
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,farmer,2,rating_grid,เทปน้ำพุ่งที่ใช้อยู่ตอบโจทย์ระบบน้ำในแปลงไหม? (1–5),น้ำออกสม่ำเสมอทุกจุด | ไม่อุดตันตลอดฤดูกาล | ความทนทานต่อสภาพดิน | ความคุ้มค่า | ง่ายต่อการติดตั้ง,Performance จริงในแปลง สะท้อน USP ที่แท้จริงกว่าการประเมินในออฟฟิศ
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,farmer,3,single_choice,ปัญหาที่เคยเจอกับเทปน้ำพุ่ง (ยี่ห้อใดก็ได้) คืออะไร?,อุดตันบ่อยจากตะกอน | น้ำออกไม่สม่ำเสมอ | แตกหักง่าย | ราคาแพงเกินไป | ยังไม่มีปัญหา,Pain Point เกษตรกร → เชื่อมกับการพัฒนา Technical Support / คู่มือการใช้งาน
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,farmer,4,single_choice,ใช้ร่วมกับท่อ PE ยี่ห้อไหน?,ตราต้นไม้ (เหมือนกัน) | ยี่ห้ออื่น | ซื้อตามร้านใกล้บ้าน ไม่ได้เลือกยี่ห้อ | ยังไม่มีระบบท่อประจำ,โอกาส Cross-sell ท่อ PE + เทปน้ำพุ่ง แบบ Package เดียว
DRIP_TAPE,เทปน้ำพุ่ง / Drip Tape,farmer,5,scale,โอกาสที่จะแนะนำเทปน้ำพุ่งตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,โอกาส Referral Program
GENERAL_BAG,ถุงเอนกประสงค์,dealer,1,checkbox,เหตุผลหลักที่เลือกสั่งถุงเอนกประสงค์ตราต้นไม้ (เลือกได้ 2 ข้อ),ราคาเหมาะสม/ถูกกว่าคู่แข่ง | คุณภาพสม่ำเสมอ ไม่แตกง่าย | มีหลายขนาด/หลายความหนา | Delivery ตรงเวลา | บริการดี/ติดต่อง่าย | อื่นๆ,ถุงเอนกประสงค์เป็นสินค้า Commodity สูง — ถ้า Dealer เลือก 'คุณภาพ' แสดงว่าเราสร้างความแตกต่างได้แล้ว
GENERAL_BAG,ถุงเอนกประสงค์,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าตรงไหน? (1–5),คุณภาพ/ความแข็งแรง | ราคา | ความหลากหลาย | Delivery | บริการหลังการขาย,สินค้า Commodity — ปัจจัยที่เราได้สูงกว่า 3 คือ Differentiation ที่แท้จริง
GENERAL_BAG,ถุงเอนกประสงค์,dealer,3,single_choice,สิ่งที่อยากให้ปรับปรุงมากที่สุด,ราคาแพงกว่าจีน | ขาด Stock บ่อย | ขนาดที่ต้องการไม่มี | คุณภาพไม่สม่ำเสมอ | ไม่มีปัญหา,ข้อที่ถูกเลือกคือสัญญาณสำคัญ
GENERAL_BAG,ถุงเอนกประสงค์,dealer,4,single_choice,ลูกค้าปลายทางส่วนใหญ่ใช้ถุงเอนกประสงค์ทำอะไร?,บรรจุผลผลิตเกษตร | ขยะ/สิ่งแวดล้อม | งานก่อสร้าง | ร้านค้าทั่วไป | อื่นๆ,รู้ Use Case → วาง Seasonal Stock และออก Promotion ตรงเป้า
GENERAL_BAG,ถุงเอนกประสงค์,dealer,5,scale,โอกาสที่จะแนะนำถุงเอนกประสงค์ตราต้นไม้ให้ร้านอื่น (1–5),,ถ้าคะแนนสูง Service ของเราอาจเป็นจุดแข็งจริง
